file,source,snapshot_date,n_events,n_events_with_totals,n_events_with_spreads,n_events_with_h2h
hist_2025-07-05_15Z.json,historical_backfill,2025-07-05,5,5,5,5
hist_2025-07-05_22Z.json,historical_backfill,2025-07-05,5,5,5,5
hist_2025-07-06_15Z.json,historical_backfill,2025-07-06,5,5,5,5
hist_2025-07-06_22Z.json,historical_backfill,2025-07-06,4,4,4,3
hist_2025-07-07_15Z.json,historical_backfill,2025-07-07,4,4,4,4
hist_2025-07-07_22Z.json,historical_backfill,2025-07-07,4,4,4,4
hist_2025-07-08_15Z.json,historical_backfill,2025-07-08,4,4,4,4
hist_2025-07-08_22Z.json,historical_backfill,2025-07-08,5,5,5,5
hist_2025-07-09_15Z.json,historical_backfill,2025-07-09,4,4,4,4
hist_2025-07-09_22Z.json,historical_backfill,2025-07-09,5,5,5,5
hist_2025-07-10_15Z.json,historical_backfill,2025-07-10,4,4,4,4
hist_2025-07-10_22Z.json,historical_backfill,2025-07-10,3,3,3,3
hist_2025-07-11_15Z.json,historical_backfill,2025-07-11,4,4,4,4
hist_2025-07-11_22Z.json,historical_backfill,2025-07-11,4,4,4,4
hist_2025-07-12_15Z.json,historical_backfill,2025-07-12,6,6,6,6
hist_2025-07-12_22Z.json,historical_backfill,2025-07-12,5,5,5,5
hist_2025-07-13_15Z.json,historical_backfill,2025-07-13,5,5,5,5
hist_2025-07-13_22Z.json,historical_backfill,2025-07-13,4,4,4,4
hist_2025-07-14_15Z.json,historical_backfill,2025-07-14,4,4,4,4
hist_2025-07-14_22Z.json,historical_backfill,2025-07-14,4,4,4,4
hist_2025-07-15_15Z.json,historical_backfill,2025-07-15,6,6,6,6
hist_2025-07-15_22Z.json,historical_backfill,2025-07-15,6,6,6,6
hist_2025-07-16_15Z.json,historical_backfill,2025-07-16,5,5,5,5
hist_2025-07-16_22Z.json,historical_backfill,2025-07-16,2,2,2,2
hist_2025-07-22_15Z.json,historical_backfill,2025-07-22,5,5,5,5
hist_2025-07-22_22Z.json,historical_backfill,2025-07-22,5,5,5,5
hist_2025-07-23_15Z.json,historical_backfill,2025-07-23,5,5,5,5
hist_2025-07-23_22Z.json,historical_backfill,2025-07-23,5,5,5,5
hist_2025-07-24_15Z.json,historical_backfill,2025-07-24,5,5,5,5
hist_2025-07-24_22Z.json,historical_backfill,2025-07-24,5,5,5,5
hist_2025-07-25_15Z.json,historical_backfill,2025-07-25,4,4,4,4
hist_2025-07-25_22Z.json,historical_backfill,2025-07-25,4,4,4,4
hist_2025-07-26_15Z.json,historical_backfill,2025-07-26,5,5,5,5
hist_2025-07-26_22Z.json,historical_backfill,2025-07-26,5,5,5,5
hist_2025-07-27_15Z.json,historical_backfill,2025-07-27,5,5,5,5
hist_2025-07-27_22Z.json,historical_backfill,2025-07-27,4,4,4,4
hist_2025-07-28_15Z.json,historical_backfill,2025-07-28,5,5,5,5
hist_2025-07-28_22Z.json,historical_backfill,2025-07-28,5,5,5,5
hist_2025-07-29_15Z.json,historical_backfill,2025-07-29,5,5,5,5
hist_2025-07-29_22Z.json,historical_backfill,2025-07-29,5,5,5,5
hist_2025-07-30_15Z.json,historical_backfill,2025-07-30,4,4,4,4
hist_2025-07-30_22Z.json,historical_backfill,2025-07-30,4,4,4,4
hist_2025-07-31_15Z.json,historical_backfill,2025-07-31,6,6,6,6
hist_2025-07-31_22Z.json,historical_backfill,2025-07-31,6,6,6,6
hist_2025-08-01_15Z.json,historical_backfill,2025-08-01,6,6,6,6
hist_2025-08-01_22Z.json,historical_backfill,2025-08-01,6,6,6,6
hist_2025-08-02_15Z.json,historical_backfill,2025-08-02,6,6,6,6
hist_2025-08-02_22Z.json,historical_backfill,2025-08-02,5,5,5,5
hist_2025-08-03_15Z.json,historical_backfill,2025-08-03,5,5,5,5
hist_2025-08-03_22Z.json,historical_backfill,2025-08-03,2,2,2,2
hist_2025-08-05_15Z.json,historical_backfill,2025-08-05,6,6,6,6
hist_2025-08-05_22Z.json,historical_backfill,2025-08-05,6,6,6,6
hist_2025-08-06_15Z.json,historical_backfill,2025-08-06,4,4,4,4
hist_2025-08-06_22Z.json,historical_backfill,2025-08-06,4,4,4,4
hist_2025-08-07_15Z.json,historical_backfill,2025-08-07,6,6,6,6
hist_2025-08-07_22Z.json,historical_backfill,2025-08-07,6,6,6,6
hist_2025-08-08_15Z.json,historical_backfill,2025-08-08,5,5,5,5
hist_2025-08-08_22Z.json,historical_backfill,2025-08-08,5,5,5,5
hist_2025-08-09_15Z.json,historical_backfill,2025-08-09,7,7,7,7
hist_2025-08-09_22Z.json,historical_backfill,2025-08-09,7,7,7,7
hist_2025-08-10_15Z.json,historical_backfill,2025-08-10,5,5,5,5
hist_2025-08-10_22Z.json,historical_backfill,2025-08-10,5,5,5,5
hist_2025-08-11_15Z.json,historical_backfill,2025-08-11,3,3,3,3
hist_2025-08-11_22Z.json,historical_backfill,2025-08-11,4,4,4,4
hist_2025-08-12_15Z.json,historical_backfill,2025-08-12,6,6,6,6
hist_2025-08-12_22Z.json,historical_backfill,2025-08-12,6,6,6,6
hist_2025-08-13_15Z.json,historical_backfill,2025-08-13,4,4,4,4
hist_2025-08-13_22Z.json,historical_backfill,2025-08-13,5,5,5,5
hist_2025-08-15_15Z.json,historical_backfill,2025-08-15,6,6,6,6
hist_2025-08-15_22Z.json,historical_backfill,2025-08-15,6,6,6,6
hist_2025-08-16_15Z.json,historical_backfill,2025-08-16,6,6,6,6
hist_2025-08-16_22Z.json,historical_backfill,2025-08-16,5,5,5,5
hist_2025-08-17_15Z.json,historical_backfill,2025-08-17,6,6,6,6
hist_2025-08-17_22Z.json,historical_backfill,2025-08-17,4,4,4,4
hist_2025-08-19_15Z.json,historical_backfill,2025-08-19,6,6,6,6
hist_2025-08-19_22Z.json,historical_backfill,2025-08-19,6,6,6,6
hist_2025-08-20_15Z.json,historical_backfill,2025-08-20,5,5,5,5
hist_2025-08-20_22Z.json,historical_backfill,2025-08-20,5,5,5,5
hist_2025-08-21_15Z.json,historical_backfill,2025-08-21,5,5,5,5
hist_2025-08-21_22Z.json,historical_backfill,2025-08-21,5,5,5,5
hist_2025-08-22_15Z.json,historical_backfill,2025-08-22,3,3,3,3
hist_2025-08-22_22Z.json,historical_backfill,2025-08-22,5,5,5,5
hist_2025-08-23_15Z.json,historical_backfill,2025-08-23,5,5,5,5
hist_2025-08-23_22Z.json,historical_backfill,2025-08-23,4,4,4,4
hist_2025-08-24_15Z.json,historical_backfill,2025-08-24,5,5,5,5
hist_2025-08-24_22Z.json,historical_backfill,2025-08-24,5,5,5,5
hist_2025-08-25_15Z.json,historical_backfill,2025-08-25,4,4,4,4
hist_2025-08-25_22Z.json,historical_backfill,2025-08-25,4,4,4,4
hist_2025-08-26_15Z.json,historical_backfill,2025-08-26,4,4,4,4
hist_2025-08-26_22Z.json,historical_backfill,2025-08-26,5,5,5,5
hist_2025-08-27_15Z.json,historical_backfill,2025-08-27,5,5,5,5
hist_2025-08-27_22Z.json,historical_backfill,2025-08-27,6,6,6,6
hist_2025-08-28_15Z.json,historical_backfill,2025-08-28,5,5,5,5
hist_2025-08-28_22Z.json,historical_backfill,2025-08-28,5,5,5,5
hist_2025-08-29_15Z.json,historical_backfill,2025-08-29,6,6,6,6
hist_2025-08-29_22Z.json,historical_backfill,2025-08-29,6,6,6,6
hist_2025-08-30_15Z.json,historical_backfill,2025-08-30,6,6,6,6
hist_2025-08-30_22Z.json,historical_backfill,2025-08-30,6,6,6,6
hist_2025-08-31_15Z.json,historical_backfill,2025-08-31,5,5,5,5
hist_2025-08-31_22Z.json,historical_backfill,2025-08-31,5,5,5,5
hist_2025-09-01_15Z.json,historical_backfill,2025-09-01,5,5,5,5
hist_2025-09-01_22Z.json,historical_backfill,2025-09-01,4,4,4,4
hist_2025-09-02_15Z.json,historical_backfill,2025-09-02,4,4,4,4
hist_2025-09-02_22Z.json,historical_backfill,2025-09-02,4,4,4,4
hist_2025-09-03_15Z.json,historical_backfill,2025-09-03,5,5,5,5
hist_2025-09-03_22Z.json,historical_backfill,2025-09-03,5,5,5,5
hist_2025-09-04_15Z.json,historical_backfill,2025-09-04,6,6,6,6
hist_2025-09-04_22Z.json,historical_backfill,2025-09-04,6,6,6,6
hist_2025-09-05_15Z.json,historical_backfill,2025-09-05,5,5,5,5
hist_2025-09-05_22Z.json,historical_backfill,2025-09-05,5,5,5,5
hist_2025-09-06_15Z.json,historical_backfill,2025-09-06,5,5,5,5
hist_2025-09-06_22Z.json,historical_backfill,2025-09-06,4,4,4,4
hist_2025-09-07_15Z.json,historical_backfill,2025-09-07,4,4,4,4
hist_2025-09-07_22Z.json,historical_backfill,2025-09-07,3,3,3,3
hist_2025-09-08_15Z.json,historical_backfill,2025-09-08,6,6,6,6
hist_2025-09-08_22Z.json,historical_backfill,2025-09-08,6,6,6,6
hist_2025-09-09_15Z.json,historical_backfill,2025-09-09,6,6,6,6
hist_2025-09-09_22Z.json,historical_backfill,2025-09-09,6,6,6,6
hist_2025-09-10_15Z.json,historical_backfill,2025-09-10,6,6,6,6
hist_2025-09-10_22Z.json,historical_backfill,2025-09-10,6,6,6,6
hist_2025-09-11_15Z.json,historical_backfill,2025-09-11,5,5,5,5
hist_2025-09-11_22Z.json,historical_backfill,2025-09-11,5,5,5,5
hist_2025-09-14_15Z.json,historical_backfill,2025-09-14,4,4,4,4
hist_2025-09-14_22Z.json,historical_backfill,2025-09-14,4,4,4,4
hist_2025-09-16_15Z.json,historical_backfill,2025-09-16,4,4,4,4
hist_2025-09-16_22Z.json,historical_backfill,2025-09-16,4,4,4,4
hist_2025-09-17_15Z.json,historical_backfill,2025-09-17,4,4,4,4
hist_2025-09-17_22Z.json,historical_backfill,2025-09-17,4,4,4,4
hist_2025-09-18_15Z.json,historical_backfill,2025-09-18,3,3,3,3
hist_2025-09-18_22Z.json,historical_backfill,2025-09-18,3,3,3,3
hist_2025-09-19_15Z.json,historical_backfill,2025-09-19,2,2,2,2
hist_2025-09-19_22Z.json,historical_backfill,2025-09-19,2,2,2,2
hist_2025-09-21_15Z.json,historical_backfill,2025-09-21,2,2,2,2
hist_2025-09-21_22Z.json,historical_backfill,2025-09-21,3,3,3,3
hist_2025-09-23_15Z.json,historical_backfill,2025-09-23,2,2,2,2
hist_2025-09-23_22Z.json,historical_backfill,2025-09-23,2,2,2,2
hist_2025-09-26_15Z.json,historical_backfill,2025-09-26,2,2,2,2
hist_2025-09-26_22Z.json,historical_backfill,2025-09-26,2,2,2,2
hist_2025-09-28_15Z.json,historical_backfill,2025-09-28,2,2,2,2
hist_2025-09-28_22Z.json,historical_backfill,2025-09-28,2,2,2,2
hist_2025-09-30_15Z.json,historical_backfill,2025-09-30,1,1,1,1
hist_2025-09-30_22Z.json,historical_backfill,2025-09-30,1,1,1,1
hist_2025-10-03_15Z.json,historical_backfill,2025-10-03,1,1,1,1
hist_2025-10-03_22Z.json,historical_backfill,2025-10-03,1,1,1,1
hist_2025-10-05_15Z.json,historical_backfill,2025-10-05,1,1,1,1
hist_2025-10-05_22Z.json,historical_backfill,2025-10-05,1,1,1,1
hist_2025-10-08_15Z.json,historical_backfill,2025-10-08,1,1,1,1
hist_2025-10-08_22Z.json,historical_backfill,2025-10-08,1,1,1,1
hist_2025-10-10_15Z.json,historical_backfill,2025-10-10,1,1,1,1
