spec,fold,n_fit,n_val,val_total_mae,a,b,c
expanding,season:2024/inner1,140.0,139.0,13.399625689034156,0.5902418445476757,65.68034147956334,0.838380335189072
expanding,season:2024/inner2,279.0,147.0,13.688002517471235,0.6001505396889666,63.73098837233696,-1.2963539381061864
expanding,season:2024/inner3,426.0,184.0,13.888010197339081,0.6033560790893396,64.00820689704375,-1.3635955832402118
expanding,MEAN,,,13.658546134614824,,,
ewma_0.005,season:2024/inner1,140.0,139.0,13.386315684678118,0.5873137320155042,66.18551512001949,0.7668452185892818
ewma_0.005,season:2024/inner2,279.0,147.0,13.708775865885118,0.5962722324585317,64.91756590659494,-0.7532100672930753
ewma_0.005,season:2024/inner3,426.0,184.0,13.783015472401008,0.5975300719567005,65.40708490331943,-0.8439005610908268
ewma_0.005,MEAN,,,13.626035674321415,,,
ewma_0.01,season:2024/inner1,140.0,139.0,13.356173311549474,0.5855176482113753,66.4907934426605,0.6722397995469365
ewma_0.01,season:2024/inner2,279.0,147.0,13.718901899420413,0.5929863746923022,65.78601481864355,-0.44745219971578365
ewma_0.01,season:2024/inner3,426.0,184.0,13.732199253817004,0.5935375468936944,66.27147625165676,-0.5752092947094525
ewma_0.01,MEAN,,,13.602424821595628,,,
ewma_0.02,season:2024/inner1,140.0,139.0,13.288233146710715,0.5840689685235634,66.73607704216143,0.518040920159514
ewma_0.02,season:2024/inner2,279.0,147.0,13.737643956336534,0.588361925026432,66.87010036411007,-0.17442714991937436
ewma_0.02,season:2024/inner3,426.0,184.0,13.690441499954142,0.5892467078412588,67.14043432497816,-0.3436890880344805
ewma_0.02,MEAN,,,13.572106201000464,,,
ewma_0.03,season:2024/inner1,140.0,139.0,13.234768170512128,0.5842960305321073,66.69018481748387,0.4170326923630796
ewma_0.03,season:2024/inner2,279.0,147.0,13.752595272502056,0.585396020382072,67.49767864836491,-0.07062600924412976
ewma_0.03,season:2024/inner3,426.0,184.0,13.675546314563407,0.5871634370693453,67.54277467421615,-0.2533976467372199
ewma_0.03,MEAN,,,13.554303252525862,,,
ewma_0.05,season:2024/inner1,140.0,139.0,13.173266647040382,0.5869933386934606,66.18937312349134,0.2955288416130486
ewma_0.05,season:2024/inner2,279.0,147.0,13.768050671721568,0.5822355831270349,68.12003422006012,1.7788244036864853e-05
ewma_0.05,season:2024/inner3,426.0,184.0,13.667760322658928,0.5844690368087354,68.03723634431094,-0.17626049883454442
ewma_0.05,MEAN,,,13.53635921380696,,,
ewma_0.08,season:2024/inner1,140.0,139.0,13.128977274647015,0.5921438543962654,65.21880165507994,0.1899516589365433
ewma_0.08,season:2024/inner2,279.0,147.0,13.77726089987614,0.5805502369922457,68.43343689861452,0.026434278438493664
ewma_0.08,season:2024/inner3,426.0,184.0,13.667976906903766,0.5804277270045953,68.73883295202401,-0.11520533117713683
ewma_0.08,MEAN,,,13.52473836047564,,,
ewma_0.12,season:2024/inner1,140.0,139.0,13.122906845710142,0.5972233962112301,64.23993533473521,0.10761270510874965
ewma_0.12,season:2024/inner2,279.0,147.0,13.781760953916331,0.5801462770348395,68.50601515469697,0.03366070243605179
ewma_0.12,season:2024/inner3,426.0,184.0,13.67287506540493,0.5760104714041366,69.48950907951118,-0.06484061201250313
ewma_0.12,MEAN,,,13.525847621677135,,,
ewma_0.2,season:2024/inner1,140.0,139.0,13.13393173963384,0.6014032239945374,63.40511319778672,0.036669480770129326
ewma_0.2,season:2024/inner2,279.0,147.0,13.779407741503096,0.5810330338250579,68.3456634964931,0.025571742335785075
ewma_0.2,season:2024/inner3,426.0,184.0,13.681279587249106,0.5721558286407356,70.14140532605202,-0.021585359154059347
ewma_0.2,MEAN,,,13.531539689462015,,,
none_diagnostic,season:2024/inner1,140.0,139.0,13.14688045710507,0.6026567920113758,63.12058677034864,
none_diagnostic,season:2024/inner2,279.0,147.0,13.768045825057666,0.5822366000741462,68.11984108183802,
none_diagnostic,season:2024/inner3,426.0,184.0,13.684322324298963,0.5708869235531594,70.36027321809588,
none_diagnostic,MEAN,,,13.533082868820566,,,
