role,name,detail,kind,occurrence_rate,n_eligible_rows,n_occurrences
feature,#7 b2b_flag,channel=- alpha=None,binary,0.02645,11948,316
moderator,TALL_SHOOTERS,archetype,binary,0.2269,11948,2711
moderator,SMALL_PRESSURE,archetype,binary,0.24573,11948,2936
feature,#60 second_unit_anchor,channel=np2 alpha=None,sparse_continuous,0.46267,11948,5528
feature,#65 early_clock_share,channel=fg3 alpha=0.05,continuous,1.0,11948,11948
feature,#44 self_creation_index,channel=np2 alpha=0.05,continuous,1.0,11948,11948
feature,#44 self_creation_index,channel=fg3 alpha=0.2,continuous,1.0,11948,11948
feature,#61 shot_diet_xpts,channel=fg3 alpha=0.05,continuous,1.0,11948,11948
feature,#62 zone_mix_drift,channel=np2 alpha=None,continuous,1.0,11948,11948
feature,#45 garbage_cleaned_rates,channel=ft alpha=0.05,continuous,1.0,11948,11948
feature,#16 opp_pace_tercile_profile,channel=fg3 alpha=None,continuous,1.0,11948,11948
feature,#58 stint_pm_stability,channel=np2 alpha=None,continuous,1.0,11948,11948
feature,#74 star_whistle_proxy,channel=ft alpha=0.05,continuous,1.0,11948,11948
feature,#6 rest_bucket_profile,channel=paint alpha=None,continuous,1.0,11948,11948
feature,#55 closing_lineup_membership,channel=np2 alpha=None,continuous,1.0,11948,11948
feature,#69 midrange_reliance,channel=np2 alpha=0.15,continuous,1.0,11948,11948
feature,#1 home_lift_shrunk,channel=fg3 alpha=0.05,continuous,1.0,11948,11948
feature,#94 blowout_x_min_elasticity,channel=ft alpha=None,continuous,1.0,11948,11948
feature,#14 paintrel_vs_rimprot,channel=paint alpha=0.5,continuous,1.0,11948,11948
feature,#17 opp_rotation_height,channel=- alpha=0.1,continuous,1.0,11948,11948
moderator,age,player_trait,continuous,1.0,11948,11948
moderator,height_inches,player_trait,continuous,1.0,11948,11948
moderator,experience_years,player_trait,continuous,1.0,11948,11948
moderator,career_minutes,player_trait,continuous,1.0,11948,11948
moderator,usage_ewma,player_trait,continuous,1.0,11948,11948
moderator,min7d_load,player_trait,continuous,1.0,11948,11948
moderator,rim_share,player_trait,continuous,1.0,11948,11948
moderator,fg3a_rate,player_trait,continuous,1.0,11948,11948
moderator,transition_share,player_trait,continuous,1.0,11948,11948
moderator,starter_share,player_trait,continuous,1.0,11948,11948
feature,#80 min7d_load,channel=- alpha=0.1,continuous,1.0,11948,11948
feature,#9 travel_distance,channel=- alpha=None,continuous,1.0,11948,11948
moderator,rot_height,archetype,continuous,1.0,11948,11948
moderator,bench_depth,player_trait,continuous,1.0,11948,11948
moderator,opp_3pa,archetype,continuous,1.0,11948,11948
moderator,rim_protect,archetype,continuous,1.0,11948,11948
moderator,pace,archetype,continuous,1.0,11948,11948
moderator,pressure,archetype,continuous,1.0,11948,11948
