K,inner_mae_mean,inner_mae_fold1,inner_mae_fold2,inner_mae_fold3,inner_delta_vs_incumbent,incumbent_inner_mae_mean,chosen
1,4.212607391244922,4.0378433152478355,4.255919238386415,4.344059620100515,-0.022447440018115827,4.190159951226806,False
2,4.210359269324377,4.041980260924587,4.2525649984796114,4.336532548568932,-0.02019931809757125,4.190159951226806,False
4,4.20568972719775,4.044141268098164,4.247697780180456,4.325230133314628,-0.015529775970943405,4.190159951226806,False
8,4.199991108203117,4.0463413054012225,4.243391239734791,4.310240779473337,-0.009831156976311206,4.190159951226806,False
16,4.195326921144051,4.05006714196252,4.241114040812052,4.294799580657583,-0.00516696991724519,4.190159951226806,False
32,4.191761366023827,4.054395141442523,4.239456807098239,4.281432149530717,-0.0016014147970206949,4.190159951226806,False
64,4.190352333510282,4.059162608411453,4.239760662299494,4.2721337298199,-0.00019238228347617792,4.190159951226806,False
128,4.190126173483526,4.064294650313556,4.240308375490286,4.265775494646734,3.3777743280616335e-05,4.190159951226806,False
256,4.19000502231891,4.067855262887987,4.240657322043404,4.261502482025336,0.00015492890789658986,4.190159951226806,False
512,4.189930692419679,4.070021239476544,4.240906575065848,4.258864262716645,0.0002292588071268753,4.190159951226806,True
1024,4.190001162659257,4.071291623734509,4.241114995964995,4.257596868278267,0.00015878856754891757,4.190159951226806,False
2048,4.19007950578813,4.072023908078741,4.2412240685471705,4.256990540738479,8.044543867580245e-05,4.190159951226806,False
4096,4.190119931209999,4.072403614014116,4.241279857237911,4.25667632237797,4.0020016807140735e-05,4.190159951226806,False
