scope,score,threshold,n_rows,n_alerts,alerts_per_100,false_alerts_per_100,precision_rows,n_events,events_detected,recall_events,median_lead_days
2024,microsignal,5.856597065779149,3697,60,1.622937516905599,1.5958885582905058,0.016666666666666666,62,1,0.016129032258064516,8.0
2024,incumbent,3.603689886105107,3697,101,2.731944820124425,2.731944820124425,0.0,62,0,0.0,
2025,microsignal,5.856597065779149,4438,28,0.6309148264984227,0.5633168093735917,0.10714285714285714,79,2,0.02531645569620253,6.0
2025,incumbent,3.603689886105107,4438,107,2.4109959441189726,2.388463271744029,0.009345794392523364,79,1,0.012658227848101266,7.0
2026,microsignal,5.856597065779149,2607,9,0.34522439585730724,0.3068661296509398,0.1111111111111111,59,1,0.01694915254237288,6.0
2026,incumbent,3.603689886105107,2607,14,0.5370157268891446,0.5370157268891446,0.0,59,0,0.0,
pooled_test,microsignal,5.856597065779149,10742,97,0.9029975795941165,0.8564513126047291,0.05154639175257732,200,4,0.02,6.5
pooled_test,incumbent,3.603689886105107,10742,222,2.0666542543288027,2.0573450009309253,0.0045045045045045045,200,1,0.005,7.0
train_2021_2023,microsignal,5.856597065779149,9660,97,1.0041407867494825,0.9627329192546584,0.041237113402061855,158,2,0.012658227848101266,7.0
train_2021_2023,incumbent,3.603689886105107,9660,97,1.0041407867494825,1.0041407867494825,0.0,158,0,0.0,
