2025-07-02 17:42:06,835 - INFO - 🚀 Starting WNBA odds scraping...
2025-07-02 17:42:06,835 - INFO - 📅 Years: [2023]
2025-07-02 17:42:06,835 - INFO - 🔍 Source: oddsportal
2025-07-02 17:42:06,835 - INFO - 🎯 Scraping OddsPortal historical WNBA data...
2025-07-02 17:42:06,835 - INFO - 📅 Processing 2023 season...
2025-07-02 17:42:07,256 - WARNING - Rate limited, waiting 10s
2025-07-02 17:43:03,663 - INFO - ✅ Found data at: https://www.oddsportal.com/basketball/usa/wnba-2023/results/
2025-07-02 17:43:03,991 - WARNING - Rate limited, waiting 10s
2025-07-02 17:45:33,990 - WARNING - Rate limited, waiting 10s
2025-07-02 17:45:44,303 - WARNING - Rate limited, waiting 20s
2025-07-02 17:46:50,932 - WARNING - Rate limited, waiting 10s
2025-07-02 17:47:01,246 - WARNING - Rate limited, waiting 20s
2025-07-02 17:47:21,668 - WARNING - Rate limited, waiting 30s
2025-07-02 17:47:51,984 - WARNING - Rate limited, waiting 10s
2025-07-02 17:48:02,298 - WARNING - Rate limited, waiting 20s
2025-07-02 17:49:08,698 - WARNING - Rate limited, waiting 10s
2025-07-02 17:49:19,012 - WARNING - Rate limited, waiting 20s
2025-07-02 17:49:39,324 - WARNING - Rate limited, waiting 30s
2025-07-02 17:50:09,637 - WARNING - Rate limited, waiting 10s
2025-07-02 17:50:19,951 - WARNING - Rate limited, waiting 20s
2025-07-02 17:50:40,266 - WARNING - Rate limited, waiting 30s
2025-07-02 17:51:10,581 - WARNING - Rate limited, waiting 10s
2025-07-02 17:51:20,899 - WARNING - Rate limited, waiting 20s
2025-07-02 17:53:13,968 - INFO - 📊 OddsPortal collected 0 records
2025-07-02 17:53:13,968 - WARNING - ❌ No data collected
